artist,years,media
Evelyn Abelson,1886-1967,painter
Ruth Abrahams,born 1931,painter illustrator
Judith Ackland,1892-1971,landscape painter
Elinor Proby Adams,1885-1945,painter
Sarah Gough Adamson,1888-1963,painter
Marion Adnams,1898-1995,painter printmaker and draughtswoman
Mary Adshead,1904-1995,painter illustrator designer
Eileen Agar,1899-1991,painter and photographer
Sam Ainsley,born 1950,painter and tapestry artist
Eileen Aldridge,1916-1990,painter
Griselda Allan,1905-1987,painter
Rosemary Allan,1911-2008,painter
Daphne Allen,1899-1985,painter
Kathleen Allen,1906-1983,painter
Helen Allingham,1848-1926,watercolour painter illustrator
Anna Alma-Tadema,1867-1943,painter
Laura Theresa Alma-Tadema,1852-1909,painter
Marie Angel,1923-2010,painter illustrator
Mabel Annesley,1881-1959,engraver painter
Amanda Ansell,born 1976,painter
Mary Anne Ansley,fl.1810-1840,painter
"Anne Margaret Coke, Viscountess Anson",1779-1843,painter
Rachel Ara,born 1965,conceptual and data artist
Janet Archer,fl.1873-1916,painter
Val Archer,born 1946,painter
Ann Arnold,1936-2015,painter
Sue Arrowsmith,1950-2014,contemporary artist
Pamela Ascherson,1923-2010,sculptor illustrator
Sophie Aston,born 1979,painter
Sophie Atkinson,1876-1972,painter illustrator
Mary Audsley,1919-2008,painter sculptor
Winifred Austen,1876-1964,painter
Gillian Ayres,1930-2018,painter printmaker
Roma Babuniak,born 1952,ceramic artist
Margaret Backhouse,1818-1888,portrait painter
Marjorie May Bacon,1902-1988,painter printmaker
Blanche Baker,1844-1929,painter
Fiona Banner,born 1966,contemporary artist
Audrey Barker,1932-2002,installation artist
Lucette Barker,1816-1905,painter
Gwen Barnard,1912-1988,painter printmaker
Mary Baylis Barnard,1870-1946,painter
Anna Barriball,born 1972,mixed media artist
Lindsay Bartholomew,born 1944,watercolour painter
Mary Beale,1633-1699,portrait painter
Sophia Beale,1837-1920,painter
Nicola Bealing,born 1963,painter
Celia Frances Bedford,1904-1959,painter printmaker
Sarah Beddington,born 1964,artist filmmaker
Gladys Kathleen Bell,1882-1965,miniature painter
Vanessa Bell,1879-1961,painter interior designer
Eleanor Best,1875-1958,painter
Helen Binyon,1904-1979,illustrator
Suzzan Blac,born 1960,surreal painter
Mary Black,1737-1814,portrait painter
Vivien Blackett,born 1955,painter
Zelma Blakely,1921-1978,illustrator
Flavia Blois,1914-1980,landscape painter
Anna Blunden,1829-1915,painter
Doris Boulton-Maude,1892-1961,painter and printmaker
Eden Box,1919-1988,painter
Dorothea Braby,1909-1987,illustrator
Dorothy Bradford,1918-2008,painter
Dorothy Elizabeth Bradford,1897-1986,painter
Phyllis Bray,1911-1991,artist and muralist
Rosa Brett,1829-1882,PreRaphaelite painter
Marjorie Frances Bruford,1902-1958,painter
Evelyne Oughtred Buchanan,1883-1979,painter
Louie Burrell,1873-1971,painter
Dorothy Burroughes,1883-1963,illustrator
Lady Elizabeth Butler,1846-1933,painter
Mildred Anne Butler,1858-1941,painter
Caroline Byng Lucas,1886-1967,painter and printer
Anne Frances Byrne,1775-1837,flower painter
Helen Cammock,born 1970,photographer poet
Estella Campavias,1918-1990,ceramicist sculptor
Nancy Carline,1909-2004,landscape painter
Margaret Sarah Carpenter,1793-1872,portrait painter
Joanna Carrington,1931-2003,painter
Louisa Starr Canziani,1845-1909,painter
Tamsyn Challenger,NA,contemporary artist
Felicity Charlton,1913-2009,painter
Evelyn Cheston,1875-1929,landscape painter
Milly Childers,1866-1922,painter
Helen Clapcott,born 1952,painter
Jean Clark,1902-1999,watercolour painter and muralist
Dora Clarke,1895-1989,sculptor
Shelagh Cluett,1947-2007,sculptor
Hilary Dulcie Cobbett,1885-1976,painter
Isabel Codrington,1874-1943,painter
Ellen Gertrude Cohen,"born 1846, date of death unknown",illustrator
Dorothy Coke,1897-1979,painter
Elsie Vera Cole,1885-1967,painter
Ruth Collet,1909-2001,painter
Elisabeth Collins,1904-2000,painter and sculptor
Ithell Colquhoun,1906-1988,painter occultist and author
Joanna Constantinidis,1927-2000,potter ceramist
Beryl Cook,1926-2008,painter
May Louise Greville Cooksey,1878-1943,painter
Jessica Cooper,born 1967,painter and designer
Constance Copeman,1864-1953,painter
Teresa Copnall,1882-1972,painter
Edith Corbet,1846-1920,painter
Emma Cousin,born 1986,painter
Fiona Crisp,born 1966,photographer installation artist
Nora Cundell,1889-1948,painter
Mary Davis,1866-1941,painter
Gladys Dawson,1909-1993,painter illustrator
Jane Mary Dealy,1856-1939,painter
Alison Debenham,1903-1967,painter
Christabel Dennison,1884-1924,painter sculptor
Brigid Derham,1943-1980,painter
Eve Disher,1894-1991,painter
Edith Downing,1857-1931,sculptor
Pamela Drew,1910-1989,painter of marine and aviation subjects
Yvonne Drewry,1918-2007,painter and printmaker
Mary Elizabeth Duffield-Rosenberg,1819-1914,painter
Evelyn Dunbar,1906-1960,painter illustrator
Aileen Eagleton,1902-1984,painter
Ursula Edgcumbe,1900-1985,sculptor and painter
Edith Edmonds,1874-1951,painter
May de Montravel Edwardes,1887-1967,painter
Helen Edwards,1882-1963,landscape painter
Mildred Eldridge,1909-1991,painter
Tracey Emin,born 1963,multidisciplinary artist
Rosalie Emslie,1891-1977,painter
Grace English,1891-1956,painter
Leila Faithfull,1896-1994,painter
Daphne Fedarb,1912-1992,painter
Mary Fedden,1915-2012,painter
Dee Ferris,born 1973,painter
Celia Fiennes,1902-1998,printmaker painter
Victorine Foot,1920-2000,artist
Elizabeth Forbes,1859-1912,painting
Mollie Forestier-Walker,1912-1990,portrait painter
Eleanor Fortescue-Brickdale,1872-1945,artist illustrator
Violet Fuller,1920-2006,painter
Margaret Garland,1893-1976,painter
Rose Garrard,born 1946,multidisciplinary artist writer
Alethea Garstin,1894-1978,painter
Margaret Geddes,1914-1998,painter
Kaff Gerrard,1894-1970,painter potter
Phyllis Ginger,1907-2005,painter illustrator
Edith Gittins,1845-1910,painter
Maude Goodman,1853-1938,painter
Hilda May Gordon,1874-1972,painter
Sylvia Gosse,1881-1968,painter and printmaker
Caroline Gotch,1854-1945,painter
Mary Gow,1851-1929,painter
Mary Grant,1831-1908,sculptor
Kate Greenaway,1846-1901,illustrator
Barbara Greg,1900-1983,wood engraver
Mary Elizabeth Groom,1903-1958,illustrator printmaker
Kate Groobey,born 1979,painter
Kathleen Guthrie,1905-1981,painter illustrator
Maria C. Hakewill,died 1842,portrait painter
Maggi Hambling,born 1945,painter sculptor
Gertrude Harvey,1879-1966,painter
Isobel Heath,1908-1989,painter
Elsie Henderson,1880-1967,painter sculptor
Rose Henriques,1889-1972,painter
Barbara Hepworth,1903-1975,painter sculptor
Gertrude Hermes,1901-1983,engraver
Elsie Dalton Hewland,1901-1979,painter
Cicely Hey,1896-1980,painter sculptor
Wuon-Gean Ho,born 1973,printmaker
Mary Hoare,1753-1820,painter
Edith Holden,1871-1920,painter writer
Ruth Hollingsworth,1880-1945,painter
Gwynneth Holt,1909-1995,ivory sculptor
Claire Hooper,born 1979,painter video artist
Erlund Hudson,1912-2011,watercolour painter and etcher
Georgina Hunt,1912-2012,abstract artist
Alice Instone,born 1975,painter
Helen Jackson,1855-1911,painter
Blanche Jenkins,alive 1872-1915,painter
Chantal Joffe,born 1969,painter
Lucy Jones,born 1955,painter
Louise Jopling,1843-1933,painter
Lily Delissa Joseph,1863-1940,painter
Marion Kalmus,born 1962,mixed media artist
Lucy Kemp-Welch,1869-1958,equine artist
Sarah Louisa Kilpack,1839-1909,painter
Dorothy King,1907-1990,painter
Eve Kirk,1900-1969,painter
Laura Knight,1877-1970,painter etcher engraver
