code,name,city,state,fare,adj_fare,year
LAX,Los Angeles International,Los Angeles,CA,342.59,602.61,1993
ORD,Chicago O'Hare International,Chicago-O'Hare,IL,427.61,752.16,1993
DEN,Denver International,Denver,CO,434.65,764.54,1993
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,462.05,812.75,1993
SFO,San Francisco International,San Francisco,CA,386.62,680.07,1993
BOS,Logan International,Boston,MA,399.66,702.99,1993
SEA,Seattle/Tacoma International,Seattle,WA,394.06,693.15,1993
EWR,Newark Liberty International,Newark,NJ,424.45,746.61,1993
DFW,Dallas/Fort Worth International,Dallas-DFW,TX,434.14,763.66,1993
JFK,John F. Kennedy International,New York-JFK,NY,434.92,765.02,1993
LGA,LaGuardia,New York-La Guardia,NY,372.79,655.74,1993
PHX,Phoenix Sky Harbor International,Phoenix,AZ,196.18,345.09,1993
MCO,Orlando International,Orlando,FL,391.96,689.45,1993
MSP,Minneapolis-St Paul International,Minneapolis,MN,436.29,767.42,1993
LAS,McCarran International,Las Vegas,NV,138.94,244.4,1993
PHL,Philadelphia International,Philadelphia,PA,471.52,829.4,1993
SAN,San Diego International,San Diego,CA,258.43,454.58,1993
DTW,Detroit Metro Wayne County,Detroit,MI,371.67,653.76,1993
BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,434.78,764.78,1993
FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,380.84,669.89,1993
DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,353.32,621.5,1993
IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,409.95,721.1,1993
PDX,Portland International,Portland,OR,381.48,671.01,1993
TPA,Tampa International,Tampa,FL,416.37,732.39,1993
AUS,Austin - Bergstrom International,Austin,TX,222.7,391.73,1993
SLC,Salt Lake City International,Salt Lake City,UT,403.96,710.56,1993
SJC,Norman Y. Mineta San Jose International,San Jose,CA,393.53,692.22,1993
MDW,Chicago Midway International,Chicago-Midway,IL,146.94,258.47,1993
CLT,Charlotte Douglas International,Charlotte,NC,492.49,866.28,1993
MIA,Miami International,Miami,FL,376.95,663.05,1993
OAK,Metropolitan Oakland International,Oakland,CA,182.09,320.29,1993
RDU,Raleigh-Durham International,Raleigh/Durham,NC,448.75,789.34,1993
SMF,Sacramento International,Sacramento,CA,253.37,445.67,1993
BNA,Nashville International,Nashville,TN,343.58,604.35,1993
STL,St Louis Lambert International,St. Louis,MO,278.98,490.73,1993
MCI,Kansas City International,Kansas City,MO,265.92,467.76,1993
DAL,Dallas Love Field,Dallas-Love Field,TX,68.52,120.52,1993
IAD,Washington Dulles International,Washington-Dulles,DC,527.66,928.15,1993
HNL,Daniel K Inouye International,Honolulu,HI,103.28,181.67,1993
IND,Indianapolis International,Indianapolis,IN,326.62,574.52,1993
CLE,Cleveland-Hopkins International,Cleveland,OH,371.37,653.24,1993
MSY,Louis Armstrong New Orleans International,New Orleans,LA,240.39,422.84,1993
PIT,Pittsburgh International,Pittsburgh,PA,442.2,777.82,1993
SNA,John Wayne Airport-Orange County,Santa Ana,CA,417.7,734.73,1993
HOU,William P Hobby,Houston-Hobby,TX,135.54,238.42,1993
CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,466.03,819.75,1993
SAT,San Antonio International,San Antonio,TX,205.32,361.15,1993
CMH,John Glenn Columbus International,Columbus,OH,309.12,543.73,1993
MKE,General Mitchell International,Milwaukee,WI,363.19,638.85,1993
BDL,Bradley International,Hartford,CT,447.25,786.72,1993
SJU,Luis Munoz Marin International,San Juan,PR,290.63,511.22,1993
RSW,Southwest Florida International,Fort Myers,FL,387.29,681.24,1993
JAX,Jacksonville International,Jacksonville,FL,446.13,784.74,1993
BUR,Bob Hope,Burbank,CA,160.78,282.81,1993
BUF,Buffalo Niagara International,Buffalo,NY,387.41,681.45,1993
PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,413.5,727.35,1993
ONT,Ontario International,Ontario,CA,248.3,436.75,1993
OMA,Eppley Airfield,Omaha,NE,374.2,658.21,1993
ABQ,Albuquerque International Sunport,Albuquerque,NM,177.43,312.11,1993
PVD,Theodore Francis Green State,Providence,RI,435.11,765.36,1993
MEM,Memphis International,Memphis,TN,411.79,724.33,1993
RIC,Richmond International,Richmond,VA,455.42,801.07,1993
OKC,Will Rogers World,Oklahoma City,OK,226.74,398.84,1993
BOI,Boise Air Terminal,Boise,ID,430.74,757.68,1993
LGB,Long Beach Airport,Long Beach,CA,289.47,509.17,1993
GEG,Spokane International,Spokane,WA,361.54,635.94,1993
ORF,Norfolk International,Norfolk,VA,389.99,685.98,1993
ANC,Ted Stevens Anchorage International,Anchorage,AK,473.03,832.06,1993
SDF,Louisville International-Standiford Field,Louisville,KY,403.38,709.54,1993
CHS,Charleston AFB/International,Charleston,SC,421.62,741.62,1993
GRR,Gerald R. Ford International,Grand Rapids,MI,379.35,667.27,1993
RNO,Reno/Tahoe International,Reno,NV,162.5,285.84,1993
TUS,Tucson International,Tucson,AZ,360.14,633.49,1993
OGG,Kahului Airport,Kahului,HI,48.83,85.9,1993
ELP,El Paso International,El Paso,TX,145.79,256.45,1993
ALB,Albany International,Albany,NY,420.5,739.66,1993
TUL,Tulsa International,Tulsa,OK,223.83,393.72,1993
DSM,Des Moines International,Des Moines,IA,378.58,665.91,1993
BHM,Birmingham-Shuttlesworth International,Birmingham,AL,332.75,585.3,1993
ROC,Greater Rochester International,Rochester,NY,424.7,747.04,1993
SYR,Syracuse Hancock International,Syracuse,NY,389.75,685.56,1993
GSP,Greenville-Spartanburg International,Greer,SC,489.32,860.72,1993
MSN,Dane County Regional-Truax Field,Madison,WI,371.47,653.4,1993
PWM,Portland International Jetport,Portland,ME,416.77,733.09,1993
LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,252.38,443.94,1993
MHT,Manchester-Boston Regional,Manchester,NH,495.63,871.81,1993
SAV,Savannah/Hilton Head International,Savannah,GA,420.91,740.38,1993
TYS,McGhee Tyson,Knoxville,TN,442.91,779.07,1993
KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,45.96,80.85,1993
ISP,Long Island MacArthur,Islip,NY,363.57,639.52,1993
LIH,Lihue Airport,Lihue,HI,48.21,84.8,1993
GSO,Piedmont Triad International,Greensboro/High Point,NC,466.53,820.62,1993
PNS,Pensacola International,Pensacola,FL,422.32,742.85,1993
HPN,Westchester County,White Plains,NY,528.99,930.5,1993
ICT,Wichita Dwight D Eisenhower National,Wichita,KS,346.91,610.21,1993
COS,City of Colorado Springs Municipal,Colorado Springs,CO,384.74,676.76,1993
PIE,St Pete Clearwater International,St. Petersburg,FL,220.91,388.59,1993
DAY,James M Cox/Dayton International,Dayton,OH,402.15,707.37,1993
FAT,Fresno Yosemite International,Fresno,CA,428.42,753.58,1993
BTV,Burlington International,Burlington,VT,416.89,733.31,1993
MDT,Harrisburg International,Harrisburg,PA,431.97,759.83,1993
LEX,Blue Grass,Lexington,KY,429.8,756.02,1993
PSP,Palm Springs International,Palm Springs,CA,476.54,838.24,1993
MYR,Myrtle Beach International,Myrtle Beach,SC,398.73,701.36,1993
CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,374.23,658.27,1993
MAF,Midland International Air and Space Port,Midland/Odessa,TX,125.47,220.69,1993
EUG,Mahlon Sweet Field,Eugene,OR,436.14,767.16,1993
SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,391.11,687.95,1993
FSD,Joe Foss Field,Sioux Falls,SD,362.97,638.46,1993
CHA,Lovell Field,Chattanooga,TN,455.81,801.77,1993
HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,511.91,900.44,1993
CAE,Columbia Metropolitan,Columbia,SC,434.38,764.08,1993
AVL,Asheville Regional,Asheville,NC,400.98,705.32,1993
MFR,Rogue Valley International - Medford,Medford,OR,380.07,668.54,1993
SGF,Springfield-Branson National,Springfield,MO,350.33,616.23,1993
BZN,Bozeman Yellowstone International,Bozeman,MT,397.95,699.99,1993
BLI,Bellingham International,Bellingham,WA,338.37,595.19,1993
ILM,Wilmington International,Wilmington,NC,414.33,728.8,1993
ITO,Hilo International,Hilo,HI,42.72,75.15,1993
LBB,Lubbock Preston Smith International,Lubbock,TX,129.48,227.76,1993
CAK,Akron-Canton Regional,Akron,OH,385.2,677.56,1993
VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,490.97,863.61,1993
FAI,Fairbanks International,Fairbanks,AK,429.68,755.81,1993
JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,443.62,780.32,1993
ACY,Atlantic City International,Atlantic City,NJ,124.64,219.25,1993
TTN,Trenton Mercer,Trenton,NJ,391.37,688.41,1993
ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,502.61,884.09,1993
FAR,Hector International,Fargo,ND,368.73,648.6,1993
PSC,Tri Cities,Pasco/Kennewick/Richland,WA,514.92,905.73,1993
FWA,Fort Wayne International,Fort Wayne,IN,414.38,728.9,1993
RDM,Roberts Field,Bend/Redmond,OR,271.75,478,1993
BIL,Billings Logan International,Billings,MT,375.19,659.96,1993
FNT,Bishop International,Flint,MI,341.5,600.7,1993
SBN,South Bend International,South Bend,IN,394.6,694.1,1993
MSO,Missoula International,Missoula,MT,392.44,690.29,1993
MLI,Quad City International,Moline,IL,375.52,660.54,1993
PIA,General Downing - Peoria International,Peoria,IL,374.61,658.94,1993
BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,397.18,698.64,1993
CHO,Charlottesville Albemarle,Charlottesville,VA,457.74,805.16,1993
SBA,Santa Barbara Municipal,Santa Barbara,CA,528.38,929.42,1993
MFE,McAllen Miller International,Mission/McAllen/Edinburg,TX,279.87,492.29,1993
TLH,Tallahassee International,Tallahassee,FL,397.81,699.74,1993
ATW,Appleton International,Appleton,WI,504.41,887.25,1993
AMA,Rick Husband Amarillo International,Amarillo,TX,150.36,264.48,1993
DAB,Daytona Beach International,Daytona Beach,FL,422.71,743.55,1993
AGS,Augusta Regional at Bush Field,Augusta,GA,469.6,826.03,1993
CRP,Corpus Christi International,Corpus Christi,TX,202.46,356.13,1993
BQN,Rafael Hernandez,Aguadilla,PR,233.56,410.84,1993
BIS,Bismarck Municipal,Bismarck/Mandan,ND,333.13,585.98,1993
ROA,Roanoke Blacksburg Regional Woodrum Field,Roanoke,VA,415.42,730.72,1993
BGR,Bangor International,Bangor,ME,381.89,671.75,1993
AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,433.96,763.33,1993
GRB,Green Bay Austin Straubel International,Green Bay,WI,372.48,655.18,1993
SHV,Shreveport Regional,Shreveport,LA,382.36,672.56,1993
HRL,Valley International,Harlingen/San Benito,TX,132.69,233.41,1993
STT,Cyril E King,Charlotte Amalie,VI,256.21,450.68,1993
GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,400.99,705.33,1993
FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,417.43,734.26,1993
GNV,Gainesville Regional,Gainesville,FL,483.28,850.09,1993
RAP,Rapid City Regional,Rapid City,SD,344.95,606.76,1993
MOB,Mobile Regional,Mobile,AL,476.75,838.6,1993
