Battle,Date,State,CWSAC,Outcome
Battle of Fort Sumter,"April 12-14, 1861",South Carolina,A,"Confederate victory: Beauregard takes Charleston Federal fort, first battle of American Civil War."
Battle of Sewell's Point,"May 18-19, 1861",Virginia,D,Inconclusive: Union gunboats fight inconclusive battle with Confederate artillery.
Battle of Aquia Creek,"May 29 - June 1, 1861",Virginia,D,"Inconclusive: Confederate artillery hit by naval bombardment, later withdrawn."
Battle of Philippi (West Virginia),"June 3, 1861",West Virginia (Virginia at the time),D,Union victory: Union forces rout a small Confederate detachment in Western Virginia.
Battle of Big Bethel,"June 10, 1861",Virginia,C,Confederate victory: Union attack on Confederate positions near a church repelled.
Battle of Boonville (Missouri),"June 17, 1861",Missouri,C,Union victory: Union forces defeat pro-Confederate governor's Missouri State Guard.
Battle of Hoke's Run,"July 2, 1861",West Virginia (Virginia at the time),D,Union victory: Robert Patterson defeats Jackson's Confederates but fails to capitalize on his victory.
Battle of Carthage,"July 5, 1861",Missouri,C,Confederate victory: Confederate victory in Missouri during U.S. Civil War.
Battle of Rich Mountain,"July 11, 1861",West Virginia (Virginia at the time),B,Union victory: Confederate forces under Gen. Robert S. Garnett split in half mid-battle by Union forces under Maj. Gen. George B. McClellan. One half surrenders; the other escapes.
Battle of Blackburn's Ford,"July 18, 1861",Virginia,C,Confederate victory: Irvin McDowell's recon-in-force defeated at Manassas.
First Battle of Bull Run or First Manassas,"July 21, 1861",Virginia,A,"Confederate victory: McDowell loses to J.E. Johnston, Beauregard; Jackson named ""Stonewall""."
Battle of Wilson's Creekor Oak Hills,"August 10, 1861",Missouri,A,Confederate victory: Union forces under Nathaniel Lyon and Samuel D. Sturgis lose to Confederates under Sterling Price and Benjamin McCulloch. Lyon is killed. First major battle west of the Mississippi.
Battle of Kessler's Cross Lanes,"August 26, 1861",West Virginia (Virginia at the time),D,Confederate victory: Confederates under John B. Floyd surprise and defeat Union forces under Erastus B. Tyler.
Battle of Hatteras Inlet Batteries,"August 28-29, 1861",North Carolina,C,Union victory: Union forces capture two North Carolina forts.
Battle of Dry Wood Creek,"September 2, 1861",Missouri,D,Confederate victory: Union cavalry from Kansas defeated by Missouri State Guard.
Battle of Carnifex Ferry,"September 10, 1861",West Virginia (Virginia at the time),B,Union victory: Confederates withdraw by night after several hours of fighting.
Battle of Cheat Mountain,"September 12-15, 1861",West Virginia (Virginia at the time),B,Union victory: 300 Union troops withstand uncoordinated Confederate attacks.
First Battle of Lexington,"September 13-20, 1861",Missouri,C,Confederate victory: Union forces badly defeated by Missouri State Guard.
Battle of Liberty,"September 17, 1861",Missouri,D,Confederate victory: Minor Missouri State Guard victory.
Battle of Barbourville,"September 19, 1861",Kentucky,D,Confederate victory:Zollicoffer raided a Federal recruitment camp and brought a counter-thrust.
Battle of Greenbrier River,"October 3, 1861",West Virginia (Virginia at the time),D,Inconclusive: Confederates withdraw after inconclusive battle.
Battle of Santa Rosa Island,"October 9, 1861",Florida,C,Union victory: Union forces repel Confederate attempt to capture island.
Battle of Camp Wildcat,"October 21, 1861",Kentucky,C,Union victory: Confederates chased from Cumberland Gap
Battle of Fredericktown,"October 21, 1861",Missouri,D,Union victory: Missouri State Guard defeated.
Battle of Ball's Bluff or Leesburg,"October 21, 1861",Virginia,B,Confederate victory: 550 Union soldiers captured.
First Battle of Springfield,"October 25, 1861",Missouri,D,Union victory: Union forces capture town.
Battle of Belmont,"November 7, 1861",Missouri,C,"Inconclusive: Grant captures and destroys Confederate supplies near Cairo, Illinois."
Battle of Ivy Mountain,"November 8, 1861",Kentucky,D,Union victory:
Battle of Round Mountain,"November 19, 1861",Oklahoma (Indian Territory at the time),D,Confederate victory: Opothleyahola's Unionist Creeks and Seminoles defeated near present-day Stillwater.
Battle of Chusto-Talasah,"December 9, 1861",Oklahoma (Indian Territory at the time),D,Confederate victory: Opothleyahola defeated near present-day Tulsa.
Battle of Camp Allegheny,"December 13, 1861",West Virginia (Virginia at the time),C,Inconclusive: Confederates withstand Union attack.
Battle of Rowlett's Station,"December 17, 1861",Kentucky,D,"Inconclusive: Union soldiers hold area, but do not launch any counter thrusts. Confederates and Texas Rangers retreat."
Battle of Dranesville,"December 20, 1861",Virginia,C,Union victory: Union defeats Confederate forces under J.E.B. Stuart.
Battle of Chustenahlah,"December 26, 1861",Oklahoma (Indian Territory at the time),B,"Confederate victory: Opothleyahola defeated, flees to Kansas."
Battle of Mount Zion Church,"December 28, 1861",Missouri,D,Union victory: Union victory in Northeastern Missouri.
Battle of Cockpit Point,"January 3, 1862",Virginia,C,Inconclusive: Inconclusive Civil War battle in Virginia.
Battle of Hancock,"January 5-6, 1862",Maryland,D,Inconclusive: Unsuccessful Confederate attack on Maryland town.
Battle of Roan's Tan Yard,"January 8, 1862",Missouri,D,Union victory: Confederates routed.
