Impulse,Action,Notes,Date,Length 
1,Begin,none,"September 5, 2001",
2,Sound,"G♯4, B4, G♯5","February 5, 2003",518 d 
3,Sound,"E3, E4","July 5, 2004",516 d 
4,Release,"G♯4, B4","July 5, 2005",365 d 
5,Sound,"A4, C5, F♯5","January 5, 2006",184 d 
6,Release,"E3, E4","May 5, 2006",120 d 
7,Sound,"C4, A♭4","July 5, 2008",792 d 
8,Release,C4,"November 5, 2008",123 d 
9,Sound,"D4, E5","February 5, 2009",92 d 
10,Release,E5,"July 5, 2010",515 d 
11,Release,"D4, G♯5","February 5, 2011",215 d 
12,Sound,"C4 (16′), D♭4 (16′)","August 5, 2011",181 d 
12,Release,A♭4 ,"August 5, 2011",181 d 
13,Release,"A4, C5, F♯5","July 5, 2012",335 d 
14,Sound,"D♯4, A♯4, E5","October 5, 2013",457 d 
15,Sound,"G♯3, E4","September 5, 2020","2,527 d "
16,Release,G♯3,"February 5, 2022",518 d 
17,Sound,D4,"February 5, 2024",730 d 
18,Sound,A4,"August 5, 2026",912 d 
19,Release,E4,"October 5, 2027",426 d 
20,Sound,G3,"April 5, 2028",183 d 
21,Release,D4,"August 5, 2028",122 d 
22,Release,A4,"March 5, 2030",577 d 
23,Release,"D♯4, E5","September 5, 2030",184 d 
24,Release,G3,"May 5, 2033",973 d 
25,Sound,B3,"December 5, 2033",214 d 
26,Sound,"F3, D4","August 5, 2034",243 d 
27,Release,"F3, D4","September 5, 2034",31 d 
28,Release,B3,"October 5, 2034",30 d 
29,Sound,D♭5,"June 5, 2035",243 d 
30,Sound,A2 (16′),"September 5, 2037",823 d 
30,Release,D♭5 ,"September 5, 2037",823 d 
31,Sound,"A♭4, A♭5","March 5, 2038",181 d 
32,Release,A♭5,"July 5, 2038",122 d 
33,Release,A♭4,"May 5, 2039",304 d
34,Sound,"D4, A♭4","December 5, 2039",214 d 
35,Release,"D4, A♭4","April 5, 2040",122 d 
36,Sound,"D♭3, B♭3","January 5, 2041",275 d 
37,Release,"D♭3, B♭3","March 5, 2042",424 d 
38,Release,A2 (16′),"November 5, 2043",610 d 
39,Sound,"A3, D4","July 5, 2044",243 d 
40,Sound,E4,"March 5, 2045",243 d 
40,Release,A♯4 ,"March 5, 2045",243 d 
41,Sound,"B4, C5, A♯5","March 5, 2046",365 d 
42,Release,"C4 (16′), B4, C5, A♯5","October 5, 2047",579 d 
43,Sound,C3 (16′),"February 5, 2049",489 d 
44,Sound,"D♯4, A4","April 5, 2050",424 d 
45,Release,"A3, D4, E4","February 5, 2051",306 d 
46,Release,"D♯4, A4","November 5, 2051",273 d 
47,Sound,"E♭3, B3","May 5, 2053",547 d 
48,Release,C3 (16′),"November 5, 2054",549 d 
49,Release,"E♭3, B3","July 5, 2056",608 d 
50,Sound,B♭4,"August 5, 2057",396 d 
51,Sound,A2 (16′),"May 5, 2058",273 d 
52,Release,A2 (16′),"November 5, 2059",549 d 
53,Sound,"G♭4, C5, D♭5","April 5, 2060",152 d 
54,Release,"G♭4, C5, D♭5","June 5, 2060",61 d 
55,Sound,E4,"November 5, 2060",153 d 
55,Release,B♭4 ,"November 5, 2060",153 d 
56,Sound,"B4, C5, E♭5, C6","February 5, 2061",92 d 
57,Release,"C5, E♭5, C6","April 5, 2061",59 d 
58,Sound,D4,"September 5, 2061",153 d 
58,Release,E4 ,"September 5, 2061",153 d 
59,Sound,"A♯3, D♯4, F♯4","August 5, 2062",334 d 
60,Release,"A♯3, F♯4","February 5, 2064",549 d 
61,Sound,"A3, A4","January 5, 2067","1,065 d "
61,Release,D♯4 ,"January 5, 2067","1,065 d "
62,Release,D4,"June 5, 2067",151 d 
63,Release,"A2, A4","July 5, 2068",396 d 
64,Release,D♭4 (16′),"March 5, 2071",973 d 
65,Release,B4,"July 5, 2071",122 d
